what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927236570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927282030
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1404927283642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927285989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927304102
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1404927308693
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1404927327221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1404927338547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927344910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927358125
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1404927358188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1404927358235
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1404927358238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1404927361542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404927363208
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1404927367272
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1404927367273
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1404927370765
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1404927372241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927376008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927402167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927420169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927577297
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1404927580187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927590364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927597624
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1404927597694
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1404927597739
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1404927597743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927611048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404927626689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404927637935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404927683128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404927684693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404927687549
