what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364599159
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1452364600182
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1452364603737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364603754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364604692
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1452364626118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364626528
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1452364631518
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1452364631527
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452364634154
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1452364638929
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1452364639229
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1452364647461
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452364648034
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452364648100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452364654967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1452364655082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452364673137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364674061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364692465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452364693044
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452364697755
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452364697829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452364704543
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1452364705341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452364710833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364714463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364716493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364717758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364719335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364720462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364722310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364724230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364725841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364726616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364728707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364732620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364736341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364737777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452364739501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452364746230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452364757338
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1452364761259
