what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1402748724117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748728805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748731151
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1402748731311
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748733002
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748735793
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748738490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402748739950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748740873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402748741897
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748742355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748742546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748743849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402748744449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748744718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748746064
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748747407
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748752349
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748753683
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748754803
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748756523
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402748762193
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1402748768248
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1402748768309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402748783271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402748783488
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402748824368
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1402748824608
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1402748824652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402748830632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402748830850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748836049
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1402748837587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748837606
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1402748837616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748842210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748847942
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1402748847951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748848241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748848271
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748858831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748861238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748868886
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1402748868959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402748872020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1402748874783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402748880825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748886935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748890229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748904526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748910496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402748916378
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402748918555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402749029740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749030082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749031830
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402749035719
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402749037188
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402749037601
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402749046267
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1402749061159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402749074310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402749078022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402749079079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749079313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749080520
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1402749082512
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402749089748
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402749089903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749094576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749097506
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402749097626
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1402749100656
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402749101077
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402749102341
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402749102431
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402749102481
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402749103051
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402749106924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749110204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749113579
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402749113585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749118890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749127145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749127232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749127297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749130231
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1402749130449
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1402749130530
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1402749130576
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1402749131314
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1402749131327
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1402749135372
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1402749139200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749140829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749156797
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1402749160913
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402749161651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749208749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749259178
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402749268049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749276741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749287785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749408597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749447755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749447765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749449978
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1402749450034
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402749450049
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1402749451279
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1402749452249
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1402749453081
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402749454714
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1402749454860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749456220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749475440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402749686062
